patient_id,hetionet_id
0,Compound::DB00014
1,Compound::DB00035
2,Compound::DB00050
3,Compound::DB00091
4,Compound::DB00093
5,Compound::DB00104
6,Compound::DB00115
7,Compound::DB00116
8,Compound::DB00117
9,Compound::DB00118
10,Compound::DB00119
11,Compound::DB00120
12,Compound::DB00121
13,Compound::DB00122
14,Compound::DB00123
15,Compound::DB00125
16,Compound::DB00126
17,Compound::DB00127
18,Compound::DB00128
19,Compound::DB00129
20,Compound::DB00130
21,Compound::DB00131
22,Compound::DB00132
23,Compound::DB00133
24,Compound::DB00134
25,Compound::DB00135
26,Compound::DB00136
27,Compound::DB00137
28,Compound::DB00138
29,Compound::DB00139
30,Compound::DB00140
31,Compound::DB00141
32,Compound::DB00143
33,Compound::DB00144
34,Compound::DB00145
35,Compound::DB00146
36,Compound::DB00147
37,Compound::DB00148
38,Compound::DB00149
39,Compound::DB00150
40,Compound::DB00151
41,Compound::DB00152
42,Compound::DB00153
43,Compound::DB00154
44,Compound::DB00155
45,Compound::DB00156
46,Compound::DB00158
47,Compound::DB00159
48,Compound::DB00160
49,Compound::DB00161
50,Compound::DB00162
51,Compound::DB00163
52,Compound::DB00165
53,Compound::DB00166
54,Compound::DB00167
55,Compound::DB00168
56,Compound::DB00169
57,Compound::DB00170
58,Compound::DB00171
59,Compound::DB00172
60,Compound::DB00173
61,Compound::DB00174
62,Compound::DB00175
63,Compound::DB00176
64,Compound::DB00177
65,Compound::DB00178
66,Compound::DB00179
67,Compound::DB00180
68,Compound::DB00181
69,Compound::DB00182
70,Compound::DB00183
71,Compound::DB00184
72,Compound::DB00185
73,Compound::DB00186
74,Compound::DB00187
75,Compound::DB00188
76,Compound::DB00189
77,Compound::DB00190
78,Compound::DB00191
79,Compound::DB00192
80,Compound::DB00193
81,Compound::DB00194
82,Compound::DB00195
83,Compound::DB00196
84,Compound::DB00198
85,Compound::DB00199
86,Compound::DB00200
87,Compound::DB00201
88,Compound::DB00202
89,Compound::DB00203
90,Compound::DB00204
91,Compound::DB00205
92,Compound::DB00206
93,Compound::DB00207
94,Compound::DB00208
95,Compound::DB00209
96,Compound::DB00210
97,Compound::DB00211
98,Compound::DB00212
99,Compound::DB00213
100,Compound::DB00214
101,Compound::DB00215
102,Compound::DB00216
103,Compound::DB00217
104,Compound::DB00218
105,Compound::DB00219
106,Compound::DB00220
107,Compound::DB00221
108,Compound::DB00222
109,Compound::DB00223
110,Compound::DB00224
111,Compound::DB00225
112,Compound::DB00226
113,Compound::DB00227
114,Compound::DB00228
115,Compound::DB00229
116,Compound::DB00230
117,Compound::DB00231
118,Compound::DB00232
119,Compound::DB00233
120,Compound::DB00234
