edge_id,source,target,edge_type,effect_sign,effect_size,activation_frequency,mechanistic_confidence,evidence_weight
e000000,bind__PGR,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000001,bind__PDE4A,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000002,bind__ABCC1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000003,bind__CYP2D6,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000004,reg__GJA1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000005,bind__ESR2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000006,reg__TNIP1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000007,reg__IL1B,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000008,reg__EGR1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000009,reg__TLR4,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000010,reg__CCL2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000011,bind__ADRB1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000012,bind__ACHE,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000013,bind__SLC22A4,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000014,bind__CACNA1C,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000015,bind__AGTR1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000016,bind__NR3C2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000017,reg__SQSTM1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000018,reg__CXCR4,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000019,bind__MPO,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000020,reg__MIF,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000021,bind__ALOX5,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000022,reg__HMGCR,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
