node,node_type,layer,is_endpoint,is_latent,is_rare_signal,recommended_use,value_type,severity_weight,observability,rarity_weight,node_priority_weight
ep__hypertension,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__hematologic cancer,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__breast cancer,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__asthma,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__coronary artery disease,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__multiple sclerosis,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__migraine,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__rheumatoid arthritis,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__schizophrenia,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
ep__prostate cancer,clinical_endpoint,5_endpoints,True,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Nonsteroidal Anti-inflammatory Compounds,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Corticosteroid Hormone Receptor Agonists,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Cytochrome P450 3A4 Inhibitors,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Nucleoside Analog,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__P-Glycoprotein Inhibitors,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Decreased Central Nervous System Disorganized Electrical Activity,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Alkylating Activity,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Full Opioid Agonists,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Benzodiazepines,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Azoles,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Cephalosporins,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Increased Diuresis,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Protein Kinase Inhibitors,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Histamine H1 Receptor Antagonists,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Nucleic Acid Synthesis Inhibitors,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Cytochrome P450 3A Inhibitors,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Progesterone Congeners,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
pc__Calcium Channel Antagonists,patient_context,1_patient_context,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nausea,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Headache,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dermatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rash,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vomiting,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dizziness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Diarrhoea,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pruritus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Asthenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypersensitivity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Body temperature increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abdominal pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urticaria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastrointestinal pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Feeling abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Constipation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Fatigue,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
