patient_id,split
0,validation
1,test
2,train
3,test
4,test
5,train
6,test
7,test
8,train
9,test
10,validation
11,validation
12,train
13,train
14,test
15,train
16,test
17,train
18,validation
19,train
20,train
21,train
22,validation
23,train
24,validation
25,train
26,train
27,validation
28,train
29,test
30,test
31,train
32,train
33,validation
34,test
35,train
36,train
37,train
38,train
39,validation
40,train
41,validation
42,train
43,validation
44,train
45,train
46,train
47,train
48,train
49,train
50,test
51,test
52,validation
53,train
54,train
55,train
56,train
57,test
58,validation
59,validation
60,train
61,validation
62,test
63,train
64,train
65,validation
66,test
67,train
68,train
69,train
70,train
71,validation
72,train
73,test
74,train
75,validation
76,test
77,train
78,train
79,validation
80,train
81,train
82,test
83,validation
84,train
85,validation
86,train
87,train
88,validation
89,train
90,train
91,train
92,train
93,train
94,train
95,test
96,train
97,train
98,train
99,train
100,train
101,train
102,test
103,train
104,test
105,train
106,train
107,validation
108,train
109,train
110,test
111,train
112,train
113,test
114,train
115,test
116,validation
117,train
118,train
119,train
120,train
121,train
122,train
123,validation
124,train
125,test
126,train
127,validation
128,validation
129,validation
130,train
131,train
132,test
133,validation
134,validation
135,train
136,train
137,train
138,train
139,validation
140,train
141,train
142,train
143,validation
144,train
145,validation
146,test
147,train
148,validation
149,train
150,train
151,validation
152,validation
153,train
154,test
155,train
156,test
157,validation
158,train
159,train
160,train
161,validation
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,test
170,train
171,test
172,validation
173,train
174,test
175,validation
176,test
177,train
178,test
179,test
180,train
181,train
182,train
183,train
184,test
185,train
186,train
187,validation
188,train
189,train
190,test
191,test
192,train
193,train
194,train
195,train
196,validation
197,train
198,train
199,train
200,train
201,train
202,validation
203,train
204,test
205,validation
206,train
207,validation
208,train
209,train
210,train
211,test
212,train
213,train
214,validation
215,test
216,train
217,test
218,test
219,validation
220,train
221,train
222,train
223,train
224,test
225,train
226,train
227,validation
228,test
229,validation
230,test
231,train
232,validation
233,test
234,train
235,train
236,train
237,train
238,train
239,validation
240,test
241,test
242,train
243,test
244,train
245,train
246,train
247,test
248,test
249,test
250,validation
251,train
252,validation
253,train
254,validation
255,train
256,test
257,test
258,train
259,test
260,validation
261,train
262,validation
263,validation
264,train
265,train
266,validation
267,test
268,train
269,train
270,train
271,validation
272,validation
273,train
274,train
275,validation
276,test
277,train
278,validation
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,test
287,validation
288,test
289,train
290,train
291,train
292,train
293,validation
294,train
295,validation
296,train
297,train
298,validation
299,train
300,validation
301,test
302,test
303,validation
304,train
305,train
306,test
307,test
308,test
309,test
310,validation
311,validation
312,validation
313,train
314,train
315,test
316,validation
317,train
318,train
319,train
320,validation
321,train
322,test
323,train
324,validation
325,train
326,train
327,validation
328,test
329,train
330,train
331,train
332,train
333,validation
334,train
335,train
336,train
337,train
338,validation
339,validation
340,train
341,test
342,train
343,train
344,train
345,train
346,train
347,test
348,train
349,validation
350,train
351,test
352,train
353,train
354,train
355,validation
356,train
357,validation
358,train
359,train
360,train
361,validation
362,test
363,train
364,train
365,train
366,train
367,train
368,test
369,train
370,test
371,train
372,validation
373,train
374,train
375,train
376,train
377,test
378,test
379,test
380,train
381,train
382,train
383,test
384,validation
385,train
386,train
387,train
388,train
389,train
390,test
391,train
392,validation
393,test
394,validation
395,train
396,train
397,train
398,train
399,test
400,train
401,validation
402,train
403,validation
404,validation
405,train
406,train
407,validation
408,test
409,train
410,train
411,validation
412,validation
413,test
414,test
415,train
416,train
417,validation
418,train
419,train
420,train
421,train
422,train
423,train
424,validation
425,train
426,train
427,train
428,train
429,train
430,test
431,test
432,train
433,train
434,test
435,train
436,train
437,train
438,train
439,validation
440,train
441,test
442,test
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,validation
454,train
455,validation
456,validation
457,train
458,test
459,train
460,train
461,test
462,train
463,validation
464,train
465,test
466,test
467,train
468,train
469,train
470,train
471,train
472,validation
473,validation
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,validation
482,train
483,test
484,train
485,train
486,train
487,test
488,test
489,validation
490,test
491,train
492,test
493,train
494,train
495,train
496,test
497,train
498,train
499,validation
500,train
501,test
502,train
503,train
504,test
505,train
506,train
507,test
508,train
509,validation
510,validation
511,validation
512,train
513,train
514,train
515,train
516,train
517,train
518,validation
519,train
520,train
521,validation
522,train
523,train
524,train
525,test
526,test
527,train
528,train
529,train
530,train
531,train
532,validation
533,validation
534,validation
535,test
536,validation
537,test
538,train
539,train
540,test
541,test
542,validation
543,train
544,validation
545,train
546,test
547,test
548,train
549,test
550,train
551,validation
552,train
553,train
554,test
555,train
556,train
557,train
558,train
559,validation
560,train
561,train
562,train
563,test
564,train
565,test
566,train
567,train
568,test
569,train
570,train
571,test
572,train
573,test
574,test
575,train
576,validation
577,validation
578,validation
579,validation
580,train
581,test
582,train
583,train
584,train
585,test
586,train
587,validation
588,test
589,train
590,train
591,train
592,validation
593,train
594,train
595,train
596,train
597,train
598,validation
599,train
600,train
601,train
602,validation
603,train
604,validation
605,train
606,train
607,test
608,train
609,train
610,train
611,train
612,train
613,test
614,train
615,train
616,test
617,test
618,train
619,train
620,train
621,validation
622,train
623,train
624,train
625,train
626,validation
627,train
628,train
629,train
630,validation
631,validation
632,test
633,train
634,train
635,train
636,train
637,train
638,train
639,test
640,train
641,train
642,train
643,train
644,train
645,validation
646,train
647,validation
648,train
649,train
650,test
651,train
652,train
653,test
654,train
655,train
656,test
657,train
658,train
659,train
660,train
661,validation
662,test
663,train
664,train
665,train
666,test
667,train
668,test
669,validation
670,test
671,train
672,train
673,train
674,train
675,test
676,train
677,train
678,validation
679,validation
680,test
681,test
682,test
683,train
684,train
685,test
686,train
687,test
688,train
689,train
690,validation
691,train
692,validation
693,test
694,train
695,test
696,train
697,validation
698,train
699,test
700,test
701,validation
702,train
703,validation
704,test
705,train
706,test
707,train
708,train
709,validation
710,train
711,train
712,validation
713,train
714,train
715,train
716,train
717,train
718,validation
719,test
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,test
731,validation
732,test
733,train
734,train
735,train
736,test
737,train
738,test
739,train
740,validation
741,train
742,train
743,test
744,train
745,validation
746,test
747,validation
748,validation
749,train
750,test
751,test
752,validation
753,train
754,train
755,train
756,validation
757,test
758,train
759,test
760,validation
761,train
762,train
763,train
764,validation
765,train
766,train
767,train
768,validation
769,train
770,validation
771,train
772,test
773,train
774,train
775,test
776,train
777,validation
778,validation
779,train
780,test
781,test
782,train
783,train
784,validation
785,test
786,train
787,train
788,validation
789,train
790,train
791,train
792,train
793,train
794,train
795,test
796,train
797,train
798,train
799,train
800,test
801,train
802,train
803,train
804,train
805,train
806,test
807,train
808,train
809,train
810,validation
811,validation
812,train
813,train
814,test
815,train
816,validation
817,test
818,test
819,train
820,train
821,test
822,validation
823,test
824,validation
825,validation
826,test
827,validation
828,train
829,train
830,train
831,train
832,train
833,validation
834,validation
835,test
836,validation
837,train
838,train
839,validation
840,validation
841,train
842,validation
843,train
844,train
845,validation
846,test
847,train
848,train
849,test
850,train
851,train
852,validation
853,train
854,train
855,train
856,test
857,train
858,train
859,train
860,test
861,train
862,test
863,test
864,train
865,validation
866,train
867,test
868,train
869,validation
870,train
871,test
872,train
873,test
874,train
875,train
876,train
877,train
878,train
879,validation
880,train
881,test
882,train
883,train
884,train
885,validation
886,validation
887,train
888,train
889,test
890,train
891,validation
892,train
893,train
894,train
895,train
896,test
897,train
898,train
899,train
900,test
901,train
902,train
903,train
904,train
905,validation
906,train
907,train
908,validation
909,train
910,test
911,train
912,train
913,train
914,train
915,validation
916,validation
917,validation
918,train
919,train
920,validation
921,validation
922,train
923,validation
924,train
925,train
926,train
927,validation
928,validation
929,train
930,train
931,test
932,validation
933,test
934,train
935,train
936,test
937,train
938,validation
939,train
940,test
941,train
942,train
943,test
944,train
945,train
946,test
947,train
948,train
949,train
950,train
951,test
952,train
953,train
954,test
955,test
956,train
957,validation
958,validation
959,train
960,train
961,train
962,validation
963,train
964,train
965,test
966,train
967,validation
968,train
969,test
970,train
971,train
972,validation
973,test
974,train
975,test
976,validation
977,train
978,validation
979,train
980,train
981,train
982,train
983,train
984,test
985,test
986,train
987,test
988,train
989,train
990,validation
991,train
992,validation
993,validation
994,train
995,validation
996,train
997,train
998,train
999,validation
1000,train
1001,validation
1002,train
1003,train
1004,train
1005,test
1006,validation
1007,train
1008,test
1009,train
1010,validation
1011,train
1012,train
1013,train
1014,train
1015,train
1016,validation
1017,test
1018,train
1019,validation
1020,train
1021,train
1022,test
1023,validation
1024,validation
1025,train
1026,train
1027,train
1028,train
1029,validation
1030,train
1031,validation
1032,train
1033,validation
1034,test
1035,test
1036,train
1037,train
1038,train
1039,train
1040,train
1041,validation
1042,train
1043,train
1044,train
1045,test
1046,test
1047,train
1048,train
1049,train
1050,train
1051,train
1052,train
1053,test
1054,train
1055,validation
1056,validation
1057,train
1058,test
1059,train
1060,train
1061,train
1062,validation
1063,train
1064,test
1065,train
1066,train
1067,test
1068,validation
1069,train
1070,train
1071,validation
1072,test
1073,train
1074,validation
1075,train
1076,train
1077,validation
1078,validation
1079,train
1080,train
1081,test
1082,train
1083,validation
1084,test
1085,train
1086,train
1087,train
1088,train
1089,test
1090,test
1091,test
1092,train
1093,train
1094,train
1095,validation
1096,test
1097,test
1098,validation
1099,train
1100,validation
1101,train
1102,test
1103,validation
1104,train
1105,train
1106,train
1107,train
1108,train
1109,train
1110,train
1111,test
1112,train
1113,validation
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,train
1121,test
1122,train
1123,train
1124,train
1125,train
1126,validation
1127,validation
1128,test
1129,validation
1130,train
1131,train
1132,test
1133,train
1134,validation
1135,train
1136,train
1137,train
1138,test
1139,train
1140,train
1141,train
1142,train
1143,train
1144,train
1145,validation
1146,train
1147,validation
1148,train
1149,train
1150,train
1151,validation
1152,train
1153,test
1154,test
1155,test
1156,train
1157,validation
1158,test
1159,test
1160,validation
1161,train
1162,train
1163,test
1164,train
1165,validation
1166,train
1167,test
1168,train
1169,train
1170,train
1171,train
1172,train
1173,test
1174,validation
1175,train
1176,train
1177,train
1178,test
1179,train
1180,train
1181,train
1182,train
1183,test
1184,validation
1185,train
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,test
1197,train
1198,validation
1199,train
1200,train
1201,train
1202,test
1203,train
1204,test
1205,train
1206,train
1207,validation
1208,test
1209,validation
1210,train
1211,train
1212,test
1213,train
1214,validation
1215,train
1216,test
1217,test
1218,train
1219,train
1220,test
1221,test
1222,train
1223,train
1224,train
1225,train
1226,train
1227,test
1228,validation
1229,train
1230,train
1231,train
1232,train
1233,train
1234,test
1235,train
1236,train
1237,test
1238,train
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,validation
1246,train
1247,train
1248,train
1249,train
1250,test
1251,train
1252,validation
1253,train
1254,train
1255,validation
1256,train
1257,train
1258,train
1259,train
1260,train
1261,test
1262,train
1263,train
1264,train
1265,train
1266,train
1267,train
1268,train
1269,train
1270,validation
1271,train
1272,validation
1273,train
1274,validation
1275,train
1276,validation
1277,validation
1278,validation
1279,train
1280,train
1281,train
1282,test
1283,train
1284,test
1285,train
1286,validation
1287,train
1288,train
1289,test
1290,validation
1291,train
1292,test
1293,train
1294,train
1295,test
1296,test
1297,train
1298,train
1299,test
1300,train
1301,test
1302,train
1303,test
1304,test
1305,train
1306,test
1307,test
1308,train
1309,test
1310,validation
1311,test
1312,train
1313,train
1314,validation
1315,train
1316,train
1317,validation
1318,train
1319,train
1320,test
1321,train
1322,train
1323,validation
1324,validation
1325,validation
1326,validation
1327,train
1328,train
1329,train
1330,train
1331,train
1332,train
1333,train
1334,train
1335,train
1336,train
1337,test
1338,train
1339,validation
1340,train
1341,test
1342,validation
1343,test
1344,train
1345,train
1346,test
1347,test
1348,train
1349,test
1350,validation
1351,validation
1352,train
1353,train
1354,validation
1355,validation
1356,train
1357,test
1358,train
1359,validation
1360,train
1361,train
1362,validation
1363,train
1364,train
1365,train
1366,train
1367,test
1368,train
1369,test
1370,train
1371,validation
1372,validation
1373,validation
1374,train
1375,test
1376,test
1377,train
1378,train
1379,train
1380,train
1381,train
1382,train
1383,train
1384,validation
1385,train
1386,validation
1387,validation
1388,test
1389,test
1390,train
1391,train
1392,train
1393,train
1394,train
1395,train
1396,train
1397,train
1398,test
1399,test
1400,test
1401,train
1402,train
1403,train
1404,validation
1405,train
1406,validation
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,validation
1414,train
1415,validation
1416,test
1417,train
1418,train
1419,train
1420,train
1421,train
1422,test
1423,train
1424,train
1425,train
1426,train
1427,validation
1428,train
1429,validation
1430,train
1431,test
1432,test
1433,test
1434,validation
1435,validation
1436,train
1437,train
1438,validation
1439,validation
1440,train
1441,train
1442,train
1443,train
1444,train
1445,train
1446,validation
1447,validation
1448,train
1449,test
1450,validation
1451,validation
1452,train
1453,test
1454,train
1455,train
1456,train
1457,train
1458,validation
1459,train
1460,validation
1461,train
1462,train
1463,test
1464,test
1465,test
1466,train
1467,train
1468,test
1469,test
1470,train
1471,validation
1472,train
1473,train
1474,validation
1475,train
1476,validation
1477,train
1478,test
1479,train
1480,train
1481,test
1482,test
1483,validation
1484,validation
1485,train
1486,train
1487,train
1488,test
1489,test
1490,train
1491,train
1492,train
1493,validation
1494,train
1495,train
1496,train
1497,test
1498,train
1499,train
1500,train
1501,test
1502,validation
1503,train
1504,train
1505,test
1506,train
1507,train
1508,train
1509,train
1510,train
1511,test
1512,train
1513,validation
1514,train
1515,test
1516,train
1517,train
1518,train
1519,test
1520,test
1521,train
1522,test
1523,train
1524,validation
1525,train
1526,train
1527,validation
1528,test
1529,train
1530,train
1531,validation
1532,validation
1533,train
1534,train
1535,train
1536,train
1537,train
1538,train
1539,train
1540,train
1541,train
1542,validation
1543,validation
1544,validation
1545,train
1546,train
1547,train
1548,train
1549,train
1550,validation
1551,train
