metric,synthetic_target,spearman_rho,n_drugs
harmonic_closeness,any_severe_endpoint_rate_if_exposed,0.5792067187357604,29
weighted_out_degree,mean_adr_burden_if_exposed,0.5067977716319394,29
out_degree,mean_adr_burden_if_exposed,0.49536411451800855,29
reachable_endpoint_count,mean_adr_burden_if_exposed,0.48708709507673936,29
reachable_severe_endpoint_count,mean_adr_burden_if_exposed,0.4854421227323404,29
out_degree,any_severe_endpoint_rate_if_exposed,0.451893386101122,29
betweenness,any_severe_endpoint_rate_if_exposed,0.44510174807342207,29
katz,any_severe_endpoint_rate_if_exposed,0.4301858365471287,29
weighted_out_degree,any_severe_endpoint_rate_if_exposed,0.39090886139528436,29
reachable_adr_count,mean_adr_burden_if_exposed,0.37934569197200874,29
harmonic_closeness,mean_adr_burden_if_exposed,0.28282829141159205,29
reachable_adr_count,any_severe_endpoint_rate_if_exposed,0.19948565203243157,29
reachable_endpoint_count,any_severe_endpoint_rate_if_exposed,0.1523410364788765,29
betweenness,mean_adr_burden_if_exposed,0.13086878639368055,29
reachable_severe_endpoint_count,any_severe_endpoint_rate_if_exposed,0.10456984430136228,29
katz,mean_adr_burden_if_exposed,-0.033918498650831304,29
pagerank,any_severe_endpoint_rate_if_exposed,-0.17645925937260978,29
pagerank,mean_adr_burden_if_exposed,-0.4339794910195122,29
