drug,out_degree,weighted_out_degree,reachable_adr_count,reachable_endpoint_count,reachable_severe_endpoint_count,pagerank,betweenness,katz,harmonic_closeness,reachable_adrs_sample,reachable_endpoints_sample,exposure_rate,mean_adr_burden_if_exposed,any_severe_endpoint_rate_if_exposed
ssri,8,7.2,9,8,4,0.0021308182476835035,0.0029029677907015396,0.07676931643382619,66.08333333333339,"confusion_state, cumulative_adr_burden, digoxin_toxicity, hyponatremia_state, mood_lowering, overt_bleeding","Delirium, Depression, Falls, GI_bleeding, Hospitalization, Hyponatremia",0.25765,0.14300532283551884,0.35882010479332427
macrolide,4,4.0,9,5,4,0.001960125502588521,0.0,0.06925147942837688,55.48333333333339,"alt_ast_rise, bilirubin_rise, cumulative_adr_burden, fatigue_symptom, jaundice, muscle_injury","DILI, Depression, Hospitalization, QT_arrhythmia, Rhabdomyolysis",0.1259,0.1500998524906388,0.3526608419380461
azole_antifungal,4,4.0,9,5,4,0.001960125502588521,0.0,0.06925147942837688,55.48333333333339,"alt_ast_rise, bilirubin_rise, cumulative_adr_burden, fatigue_symptom, jaundice, muscle_injury","DILI, Depression, Hospitalization, QT_arrhythmia, Rhabdomyolysis",0.0782,0.14963920350748994,0.35294117647058826
nsaid,11,9.95,8,4,3,0.0021308182476835035,0.0029785535805730446,0.07676931643382619,68.33333333333334,"creatinine_rise, cumulative_adr_burden, dizziness, gi_irritation, hypotension, occult_bleeding","AKI, Falls, GI_bleeding, Hospitalization",0.2642,0.14930423380555857,0.3995079485238456
snri,6,5.6,6,6,3,0.0021308182476835035,0.0020466656738952218,0.07676931643382619,64.33333333333341,"confusion_state, cumulative_adr_burden, mood_lowering, qt_prolongation_state, serotonin_toxicity, severe_adr_burden","Delirium, Depression, Falls, Hospitalization, QT_arrhythmia, Serotonin_syndrome",0.1073,0.15018406337371856,0.36020503261882575
acei_arb,6,5.5,8,5,3,0.0028007311254186276,0.002566014827698157,0.0805881459847294,65.25000000000006,"creatinine_rise, cumulative_adr_burden, digoxin_toxicity, dizziness, hyperkalemia_state, hypotension","AKI, Falls, Hospitalization, Hyperkalemia, QT_arrhythmia",0.5385,0.1414395808462661,0.3543175487465181
statin,3,3.0,8,4,3,0.0029588800044738016,0.0011337868480725624,0.0730603107969376,56.283333333333395,"alt_ast_rise, bilirubin_rise, cumulative_adr_burden, fatigue_symptom, jaundice, muscle_injury","DILI, Depression, Hospitalization, Rhabdomyolysis",0.309,0.14028999075358298,0.34110032362459547
anticoagulant,6,6.0,3,2,2,0.003028385152990859,0.0021688357540484947,0.08040501910381598,64.00000000000009,"cumulative_adr_burden, overt_bleeding, severe_adr_burden","GI_bleeding, Hospitalization",0.2701,0.14253966784788702,0.35542391706775267
valproate_like_drug,6,5.1,11,5,2,0.003797167844471764,0.0035777831713992743,0.08023189040524505,65.00000000000007,"alt_ast_rise, bilirubin_rise, confusion_state, cumulative_adr_burden, dizziness, fatigue_symptom","DILI, Delirium, Depression, Falls, Hospitalization",0.0793,0.13988155287335616,0.3751576292559899
antiplatelet,5,4.9,3,2,2,0.0021308182476835035,0.0011310469011335921,0.07676931643382619,62.58333333333343,"cumulative_adr_burden, overt_bleeding, severe_adr_burden","GI_bleeding, Hospitalization",0.3018,0.1390873804790306,0.3550364479787939
