endpoint,n_pozytywow,prewalencja,auc_sufit,auprc_sufit,n_rodzicow,uwaga
AKI,393,0.131,0.8113,0.45425,6,
DILI,55,0.0183,0.6529,0.08592,7,
Delirium,111,0.037,0.668,0.09964,4,
Depression,254,0.0847,0.6525,0.16588,6,
Falls,234,0.078,0.6967,0.18376,7,
GI_bleeding,64,0.0213,0.5704,0.07969,5,
Hospitalization,676,0.2253,0.7507,0.53515,14,
Hyperkalemia,146,0.0487,0.5898,0.083,2,
Hyponatremia,236,0.0787,0.6383,0.16782,3,
QT_arrhythmia,48,0.016,0.6224,0.07543,4,
Serotonin_syndrome,8,0.0027,0.5545,0.00769,1,
Rhabdomyolysis,11,0.0037,0.5302,0.01072,1,
Lactic_acidosis,17,0.0057,0.5232,0.01088,1,
