,patient_context,drug_exposure,mechanism,adr_or_intermediate_state,triple
AKI,1.5111678838729858,1.0249178409576416,1.4298264980316162,0.9616758227348328,0.942220151424408
Depression,0.9601657390594482,1.0,1.0,1.341246247291565,1.2611900568008425
Rhabdomyolysis,1.0,1.0,1.0,1.2738614082336426,1.1025511026382446
Delirium,1.089715838432312,1.0,1.0,0.9952919483184814,1.095380425453186
Lactic_acidosis,1.0,1.0,1.0,1.095679759979248,1.0641777515411377
Serotonin_syndrome,1.0,1.0,1.0,0.9246757626533508,1.2075039148330688
QT_arrhythmia,1.1152559518814087,1.0,1.0,0.9998893737792968,0.9819101691246032
GI_bleeding,1.0,1.0,1.1269705295562744,0.9514140486717224,0.770313024520874
Hyponatremia,0.9156256318092346,1.0,1.0,0.9432636499404908,0.965239644050598
DILI,0.8528173565864563,0.9771260023117064,0.7733041644096375,1.1255253553390503,1.0734659433364868
Hyperkalemia,1.0,1.0,1.0,0.7211588025093079,0.946609616279602
