scope,group,endpoint,n_patients,prevalence
scenario,clean,AKI,14000,0.131
scenario,clean,DILI,14000,0.018
scenario,clean,Depression,14000,0.08464285714285714
scenario,clean,Falls,14000,0.07785714285714286
scenario,clean,Delirium,14000,0.03692857142857143
scenario,clean,GI_bleeding,14000,0.021214285714285713
scenario,clean,Hyponatremia,14000,0.07871428571428571
scenario,clean,Hyperkalemia,14000,0.048357142857142855
scenario,clean,QT_arrhythmia,14000,0.015928571428571427
scenario,clean,Hospitalization,14000,0.225
scenario,clean,Serotonin_syndrome,14000,0.0025
scenario,clean,Rhabdomyolysis,14000,0.003357142857142857
scenario,clean,Lactic_acidosis,14000,0.0055
scenario,hidden_confounder,AKI,14000,0.131
scenario,hidden_confounder,DILI,14000,0.018
scenario,hidden_confounder,Depression,14000,0.08464285714285714
scenario,hidden_confounder,Falls,14000,0.07785714285714286
scenario,hidden_confounder,Delirium,14000,0.03692857142857143
scenario,hidden_confounder,GI_bleeding,14000,0.021214285714285713
scenario,hidden_confounder,Hyponatremia,14000,0.07871428571428571
scenario,hidden_confounder,Hyperkalemia,14000,0.048357142857142855
scenario,hidden_confounder,QT_arrhythmia,14000,0.015928571428571427
scenario,hidden_confounder,Hospitalization,14000,0.225
scenario,hidden_confounder,Serotonin_syndrome,14000,0.0025
scenario,hidden_confounder,Rhabdomyolysis,14000,0.003357142857142857
scenario,hidden_confounder,Lactic_acidosis,14000,0.0055
scenario,selection_bias,AKI,9854,0.14613354982748122
scenario,selection_bias,DILI,9854,0.019078546783032273
scenario,selection_bias,Depression,9854,0.08362086462350314
scenario,selection_bias,Falls,9854,0.08179419525065963
scenario,selection_bias,Delirium,9854,0.03795413030241526
scenario,selection_bias,GI_bleeding,9854,0.021514105946823625
scenario,selection_bias,Hyponatremia,9854,0.08006900750964076
scenario,selection_bias,Hyperkalemia,9854,0.049928962857722754
scenario,selection_bias,QT_arrhythmia,9854,0.016338542723767
scenario,selection_bias,Hospitalization,9854,0.24883296123401663
scenario,selection_bias,Serotonin_syndrome,9854,0.0032474122183884717
scenario,selection_bias,Rhabdomyolysis,9854,0.0036533387456870307
scenario,selection_bias,Lactic_acidosis,9854,0.005784453014004465
scenario,no_overlap,AKI,14000,0.13078571428571428
scenario,no_overlap,DILI,14000,0.01892857142857143
scenario,no_overlap,Depression,14000,0.08264285714285714
scenario,no_overlap,Falls,14000,0.08128571428571428
scenario,no_overlap,Delirium,14000,0.03521428571428571
scenario,no_overlap,GI_bleeding,14000,0.022357142857142857
scenario,no_overlap,Hyponatremia,14000,0.07978571428571428
scenario,no_overlap,Hyperkalemia,14000,0.04692857142857143
scenario,no_overlap,QT_arrhythmia,14000,0.016428571428571428
scenario,no_overlap,Hospitalization,14000,0.2277142857142857
scenario,no_overlap,Serotonin_syndrome,14000,0.0027142857142857142
scenario,no_overlap,Rhabdomyolysis,14000,0.0037142857142857142
scenario,no_overlap,Lactic_acidosis,14000,0.004857142857142857
scenario,noisy_documentation,AKI,14000,0.123
scenario,noisy_documentation,DILI,14000,0.023642857142857143
scenario,noisy_documentation,Depression,14000,0.056
scenario,noisy_documentation,Falls,14000,0.06307142857142857
scenario,noisy_documentation,Delirium,14000,0.031142857142857142
scenario,noisy_documentation,GI_bleeding,14000,0.026571428571428572
scenario,noisy_documentation,Hyponatremia,14000,0.07607142857142857
scenario,noisy_documentation,Hyperkalemia,14000,0.051
scenario,noisy_documentation,QT_arrhythmia,14000,0.019571428571428573
scenario,noisy_documentation,Hospitalization,14000,0.19942857142857143
