reference,comparison,variable,variable_type,reference_mean,comparison_mean,mean_delta,reference_missing_rate,comparison_missing_rate,missing_rate_delta,standardized_mean_difference,wasserstein_distance,wasserstein_over_clean_sd,ks_statistic,prevalence_delta,bernoulli_js_divergence,absolute_effect
other_hospitals,1,age,continuous,66.00460904561136,66.2496632996633,0.24505425405193648,0.0,0.0,0.0,0.020634637307505227,0.3337474119414838,0.0279062298926642,0.014807587824069324,,,0.020634637307505227
other_hospitals,1,alcohol_use,binary,0.12878497508623993,0.12261503928170595,-0.0061699358045339825,0.0,0.0,0.0,-0.018612365053652713,0.006169935804534066,0.018419819407766908,0.006169935804534066,-0.0061699358045339825,4.3302579208597154e-05,0.0061699358045339825
other_hospitals,1,baseline_alt_ast,continuous,24.929446147949406,24.848400673400672,-0.08104547454873412,0.0,0.0,0.0,-0.00814263255755748,0.2695145311984458,0.027383704314904802,0.014753600482487667,,,0.00814263255755748
other_hospitals,1,baseline_egfr,continuous,74.51837868915294,75.35019640852974,0.8318177193768008,0.0,0.0,0.0,0.042011772089281724,0.8471763007185265,0.042901104857337814,0.023373830292189868,,,0.042011772089281724
other_hospitals,1,baseline_mood_vulnerability,binary,0.1132617861249521,0.11419753086419752,0.000935744739245431,0.0,0.0,0.0,0.002947391930699551,0.0009357447392454032,0.0029526908536171683,0.0009357447392454032,0.000935744739245431,1.0858902612045256e-06,0.000935744739245431
other_hospitals,1,baseline_potassium,continuous,4.26603967037179,4.253731762065096,-0.012307908306694593,0.0,0.0,0.0,-0.034488258375575724,0.012650222466563322,0.035338090307139886,0.01711667589398519,,,0.034488258375575724
other_hospitals,1,baseline_qt_risk,binary,0.06793790724415485,0.07856341189674523,0.010625504652590378,0.0,0.0,0.0,0.040789929793289686,0.010625504652590378,0.04222513635567752,0.010625504652590378,0.010625504652590378,0.00020806017600006168,0.010625504652590378
other_hospitals,1,baseline_sodium,continuous,138.98649865848986,138.94913019079686,-0.03736846769299973,0.0,0.0,0.0,-0.014852499418403636,0.051543930424727366,0.020477171859009245,0.01778226883631251,,,0.014852499418403636
other_hospitals,1,ckd,binary,0.0931391337677271,0.0931537598204265,1.4626052699390213e-05,0.0,0.0,0.0,5.032402948977494e-05,1.4626052699417968e-05,5.0325802169095156e-05,1.4626052699417968e-05,1.4626052699390213e-05,3.1656344276515685e-10,1.4626052699390213e-05
other_hospitals,1,depression_history,binary,0.11642391720965888,0.10914702581369248,-0.007276891395966392,0.0,0.0,0.0,-0.023005608291934286,0.007276891395966323,0.02268834480842289,0.007276891395966323,-0.007276891395966392,6.615870377244242e-05,0.007276891395966392
