reference,comparison,variable,variable_type,reference_mean,comparison_mean,mean_delta,reference_missing_rate,comparison_missing_rate,missing_rate_delta,standardized_mean_difference,wasserstein_distance,wasserstein_over_clean_sd,ks_statistic,prevalence_delta,bernoulli_js_divergence,absolute_effect
clean,hidden_confounder,age,continuous,65.81977857142859,65.81977857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,alcohol_use,binary,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_alt_ast,continuous,24.89476428571429,24.89476428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_egfr,continuous,74.49969285714286,74.49969285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_mood_vulnerability,binary,0.11507142857142857,0.11507142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_potassium,continuous,4.269931428571429,4.269931428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_qt_risk,binary,0.06907142857142858,0.06907142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_sodium,continuous,138.95499285714286,138.95499285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,ckd,binary,0.09121428571428572,0.09121428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,depression_history,binary,0.12007142857142857,0.12007142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,diabetes,binary,0.17085714285714285,0.17085714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,frailty,binary,0.03578571428571429,0.03578571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,heart_failure,binary,0.08185714285714285,0.08185714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,infection,binary,0.08292857142857143,0.08292857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,liver_disease,binary,0.06092857142857143,0.06092857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,monitoring_intensity,continuous,0.38979985714285714,0.38979985714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,polypharmacy_burden,count,4.926785714285714,4.926785714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,sex_female,binary,0.5417142857142857,0.5417142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,acei_arb,binary,0.5342857142857143,0.5342857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,aminoglycoside,binary,0.06664285714285714,0.06664285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,multihospital,active_drug_count,count,5.868714285714286,6.044714285714286,0.17600000000000016,0.0,0.0,0.0,0.0783276401861853,0.176,0.07992295862309608,0.025285714285714245,,,0.0783276401861853
clean,multihospital,qt_drug_load_v3,count,0.7927142857142857,0.8416428571428571,0.04892857142857143,0.0,0.0,0.0,0.05888117079071337,0.04892857142857132,0.060005037092225565,0.02121428571428574,,,0.05888117079071337
clean,multihospital,ddi_qt_multidrug_load,count,0.702,0.7465714285714286,0.044571428571428595,0.0,0.0,0.0,0.05729714575613974,0.04457142857142843,0.058407506919206716,0.020500000000000018,,,0.05729714575613974
clean,multihospital,bleeding_risk_load,count,1.2585,1.3104285714285715,0.051928571428571546,0.0,0.0,0.0,0.052499451315148195,0.05192857142857135,0.052905990464858325,0.02114285714285713,,,0.052499451315148195
clean,multihospital,cyp_inhibitor_load,count,0.20107142857142857,0.22178571428571428,0.020714285714285713,0.0,0.0,0.0,0.04767739760758842,0.020714285714285685,0.048775830292736286,0.01828571428571435,,,0.04767739760758842
clean,multihospital,hepatic_drug_load,count,0.9044285714285715,0.9411428571428572,0.0367142857142857,0.0,0.0,0.0,0.04253233174089372,0.03671428571428559,0.042957949539306685,0.01571428571428568,,,0.04253233174089372
clean,multihospital,serotonergic_load,count,0.6242142857142857,0.6522142857142857,0.028000000000000025,0.0,0.0,0.0,0.03863102933192561,0.02900000000000008,0.040271143714477445,0.017571428571428627,,,0.03863102933192561
clean,multihospital,nephrotoxin_load,count,1.0979285714285714,1.1192857142857142,0.021357142857142852,0.0,0.0,0.0,0.025020199573655942,0.021500000000000075,0.025261995609700466,0.009642857142857175,,,0.025020199573655942
clean,multihospital,age,continuous,65.81977857142859,66.06699285714286,0.2472142857142785,0.0,0.0,0.0,0.0206836000942458,0.25554285714285724,0.021318769124445677,0.012499999999999983,,,0.0206836000942458
clean,multihospital,baseline_potassium,continuous,4.269931428571429,4.262906428571429,-0.007024999999999615,0.0,0.0,0.0,-0.01957737831560071,0.010846428571428578,0.030111859821199308,0.01835714285714285,,,0.01957737831560071
clean,multihospital,monitoring_intensity,continuous,0.38979985714285714,0.3935648571428571,0.003764999999999963,0.0,0.0,0.0,0.019103786630143553,0.004028857142857142,0.020658776460296648,0.01371428571428579,,,0.019103786630143553
clean,multihospital,cns_depressant_load,count,0.6017857142857143,0.6153571428571428,0.013571428571428568,0.0,0.0,0.0,0.018895179225841205,0.013571428571428679,0.01904525051655954,0.00642857142857145,,,0.018895179225841205
clean,multihospital,antiplatelet,binary,0.29714285714285715,0.316,0.01885714285714285,0.0,0.0,0.0,0.04090722419810234,0.018857142857142795,0.04126289667062917,0.018857142857142795,0.01885714285714285,0.0002091124923851665,0.01885714285714285
clean,multihospital,cumulative_adr_burden,continuous,1.8654971428571427,1.8903628571428568,0.024865714285714047,0.0,0.0,0.0,0.01599571576575798,0.025182857142857142,0.016245089182048738,0.011571428571428566,,,0.01599571576575798
clean,multihospital,acei_arb,binary,0.5342857142857143,0.5495714285714286,0.015285714285714347,0.0,0.0,0.0,0.030683098467712656,0.015285714285714236,0.030643557087229538,0.015285714285714236,0.015285714285714347,0.00011765862038532089,0.015285714285714347
clean,multihospital,macrolide,binary,0.12271428571428572,0.138,0.015285714285714291,0.0,0.0,0.0,0.04541086478804854,0.015285714285714347,0.046587311343454854,0.015285714285714347,0.015285714285714291,0.0002577644809408316,0.015285714285714291
clean,multihospital,ssri,binary,0.25671428571428573,0.27185714285714285,0.015142857142857125,0.0,0.0,0.0,0.034346336275761086,0.015142857142857236,0.03466609427563806,0.015142857142857236,0.015142857142857125,0.0001474309048818674,0.015142857142857125
clean,multihospital,corticosteroid,binary,0.17064285714285715,0.18328571428571427,0.012642857142857122,0.0,0.0,0.0,0.033132382144643,0.012642857142857178,0.033607048981412965,0.012642857142857178,0.012642857142857122,0.0001372059580066285,0.012642857142857122
clean,multihospital,baseline_egfr,continuous,74.49969285714286,74.73013571428572,0.2304428571428616,0.0,0.0,0.0,0.011599996909461108,0.24185714285714274,0.012120786057255943,0.010357142857142843,,,0.011599996909461108
clean,multihospital,diuretic,binary,0.44471428571428573,0.4555,0.010785714285714287,0.0,0.0,0.0,0.021680906503393264,0.010785714285714287,0.02170451676175723,0.010785714285714287,0.010785714285714287,5.875200612378466e-05,0.010785714285714287
clean,no_overlap,bleeding_risk_load,count,1.2585,1.3611428571428572,0.10264285714285726,0.0,0.0,0.0,0.10207653585886031,0.10264285714285704,0.10457483947455494,0.04128571428571426,,,0.10207653585886031
clean,no_overlap,active_drug_count,count,5.868714285714286,6.035785714285714,0.1670714285714281,0.0,0.0,0.0,0.0748687072595652,0.16707142857142843,0.07586842541372629,0.029571428571428582,,,0.0748687072595652
clean,no_overlap,antiplatelet,binary,0.29714285714285715,0.3525,0.05535714285714283,0.0,0.0,0.0,0.11841367869380211,0.05535714285714288,0.12113160954446109,0.05535714285714288,0.05535714285714283,0.0017481925755457074,0.05535714285714283
clean,no_overlap,ddi_bleeding_dual,binary,0.08407142857142857,0.13207142857142856,0.04799999999999999,0.0,0.0,0.0,0.15506801609742446,0.04800000000000004,0.17297614756505403,0.04800000000000004,0.04799999999999999,0.003010187221990193,0.04799999999999999
