scenario,variable,effective_column,variable_type,n_patients,missing_rate,prevalence,n_complete,mean,std,median,q05,q25,q75,q95
clean,age,age,continuous,14000,0.0,,14000,65.81977857142859,11.98675475357688,65.8,46.0,57.6,74.1,85.6
clean,alcohol_use,alcohol_use,binary,14000,0.0,0.129,14000,0.129,0.33519994033412354,0.0,0.0,0.0,0.0,1.0
clean,baseline_alt_ast,baseline_alt_ast,continuous,14000,0.0,,14000,24.89476428571429,10.011603789825022,24.4,8.9,17.9,31.2,42.004999999999924
clean,baseline_egfr,baseline_egfr,continuous,14000,0.0,,14000,74.49969285714286,19.95391567136508,74.7,41.1,61.2,88.0,107.1
clean,baseline_mood_vulnerability,baseline_mood_vulnerability,binary,14000,0.0,0.11507142857142857,14000,0.11507142857142857,0.3191081241491028,0.0,0.0,0.0,0.0,1.0
clean,baseline_potassium,baseline_potassium,continuous,14000,0.0,,14000,4.269931428571429,0.3602045385384164,4.27,3.67,4.03,4.52,4.86
clean,baseline_qt_risk,baseline_qt_risk,binary,14000,0.0,0.06907142857142858,14000,0.06907142857142858,0.25357556334657055,0.0,0.0,0.0,0.0,1.0
clean,baseline_sodium,baseline_sodium,continuous,14000,0.0,,14000,138.95499285714286,2.5130788032565854,138.95,134.9,137.2,140.7,143.1
clean,ckd,ckd,binary,14000,0.0,0.09121428571428572,14000,0.09121428571428572,0.28791359779614156,0.0,0.0,0.0,0.0,1.0
clean,depression_history,depression_history,binary,14000,0.0,0.12007142857142857,14000,0.12007142857142857,0.325045043974285,0.0,0.0,0.0,0.0,1.0
clean,diabetes,diabetes,binary,14000,0.0,0.17085714285714285,14000,0.17085714285714285,0.37638408519999456,0.0,0.0,0.0,0.0,1.0
clean,frailty,frailty,binary,14000,0.0,0.03578571428571429,14000,0.03578571428571429,0.18575547620131014,0.0,0.0,0.0,0.0,0.0
clean,heart_failure,heart_failure,binary,14000,0.0,0.08185714285714285,14000,0.08185714285714285,0.274146951506684,0.0,0.0,0.0,0.0,1.0
clean,infection,infection,binary,14000,0.0,0.08292857142857143,14000,0.08292857142857143,0.27577422553492514,0.0,0.0,0.0,0.0,1.0
clean,liver_disease,liver_disease,binary,14000,0.0,0.06092857142857143,14000,0.06092857142857143,0.23919924877023524,0.0,0.0,0.0,0.0,1.0
clean,monitoring_intensity,monitoring_intensity,continuous,14000,0.0,,14000,0.38979985714285714,0.1950191556891114,0.375,0.095,0.238,0.527,0.732
clean,polypharmacy_burden,polypharmacy_burden,count,14000,0.0,,14000,4.926785714285714,2.2550254252152784,5.0,2.0,3.0,6.0,9.0
clean,sex_female,sex_female,binary,14000,0.0,0.5417142857142857,14000,0.5417142857142857,0.4982568798996628,1.0,0.0,0.0,1.0,1.0
clean,acei_arb,acei_arb,binary,14000,0.0,0.5342857142857143,14000,0.5342857142857143,0.4988231047134028,1.0,0.0,0.0,1.0,1.0
clean,aminoglycoside,aminoglycoside,binary,14000,0.0,0.06664285714285714,14000,0.06664285714285714,0.24940245935975427,0.0,0.0,0.0,0.0,1.0
clean,antibiotic_hepatic_risk,antibiotic_hepatic_risk,binary,14000,0.0,0.2077142857142857,14000,0.2077142857142857,0.40567112446474396,0.0,0.0,0.0,0.0,1.0
clean,anticholinergic,anticholinergic,binary,14000,0.0,0.15492857142857142,14000,0.15492857142857142,0.36183657800680336,0.0,0.0,0.0,0.0,1.0
clean,anticoagulant,anticoagulant,binary,14000,0.0,0.2725,14000,0.2725,0.44524571867677737,0.0,0.0,0.0,1.0,1.0
clean,antiplatelet,antiplatelet,binary,14000,0.0,0.29714285714285715,14000,0.29714285714285715,0.45699997767159334,0.0,0.0,0.0,1.0,1.0
clean,benzodiazepine,benzodiazepine,binary,14000,0.0,0.1972142857142857,14000,0.1972142857142857,0.3978954777633063,0.0,0.0,0.0,0.0,1.0
clean,beta_blocker,beta_blocker,binary,14000,0.0,0.32785714285714285,14000,0.32785714285714285,0.46943246237844893,0.0,0.0,0.0,1.0,1.0
clean,contrast_agent,contrast_agent,binary,14000,0.0,0.18292857142857144,14000,0.18292857142857144,0.38660795282000265,0.0,0.0,0.0,0.0,1.0
clean,corticosteroid,corticosteroid,binary,14000,0.0,0.17064285714285715,14000,0.17064285714285715,0.37619658750310264,0.0,0.0,0.0,0.0,1.0
clean,diuretic,diuretic,binary,14000,0.0,0.44471428571428573,14000,0.44471428571428573,0.4969340899917396,0.0,0.0,0.0,1.0,1.0
clean,hepatotoxic_drug_A,hepatotoxic_drug_A,binary,14000,0.0,0.10692857142857143,14000,0.10692857142857143,0.3090224134926402,0.0,0.0,0.0,0.0,1.0
clean,herbal_exposure,herbal_exposure,binary,14000,0.0,0.15214285714285714,14000,0.15214285714285714,0.3591593074991449,0.0,0.0,0.0,0.0,1.0
clean,nsaid,nsaid,binary,14000,0.0,0.2615,14000,0.2615,0.43945164694195876,0.0,0.0,0.0,1.0,1.0
clean,opioid,opioid,binary,14000,0.0,0.1707142857142857,14000,0.1707142857142857,0.37625911067686707,0.0,0.0,0.0,0.0,1.0
clean,ppi,ppi,binary,14000,0.0,0.382,14000,0.382,0.4858765275252551,0.0,0.0,0.0,1.0,1.0
clean,qt_prolonging_drug,qt_prolonging_drug,binary,14000,0.0,0.1362857142857143,14000,0.1362857142857143,0.3430917054773358,0.0,0.0,0.0,0.0,1.0
clean,snri,snri,binary,14000,0.0,0.10792857142857143,14000,0.10792857142857143,0.3102901785393137,0.0,0.0,0.0,0.0,1.0
