"wave","stage","variant","split_or_scope","metric","mean","sd","delta_or_note"
"1","BAZA depth","HeteroSAGE L1","clean valid","AUPRC","0.658","",""
"1","BAZA depth","HeteroSAGE L2","clean valid","AUPRC","0.692","","winner"
"1","BAZA depth","HeteroSAGE L3","clean valid","AUPRC","0.637","",""
"1","BAZA depth","HeteroSAGE L4","clean valid","AUPRC","0.599","",""
"1","BAZA depth","R-GCN L1","clean valid","AUPRC","0.615","","winner R-GCN"
"1","Frozen feature ablation","HeteroSAGE","valid","delta empirical-topology","0.220","0.110","5/5 wins"
"1","Frozen feature ablation","R-GCN","valid","delta empirical-topology","0.260","0.090","5/5 wins"
"1","E3 edge type","drug_to_burden","valid","AUPRC","0.719","","delta vs topology +0.441"
"1","E4 relation ablation","full SAGE L2","valid","AUPRC","0.640","",""
"1","E4 relation ablation","remove drug_to_burden","valid","delta AUPRC","-0.025","",""
"2","Architecture screening","HGT","valid","AUPRC","0.636","",""
"2","Architecture screening","GATv2","valid","AUPRC","0.586","",""
"2","Architecture screening","matched SAGE","valid","AUPRC","0.567","",""
"2","Final","HGT L1H8","valid","AUPRC","0.6550","0.0057","winner"
"2","Final","HGT L1H8","test","AUPRC","0.5716","",""
"2","Final","matched SAGE L1","valid","AUPRC","0.6053","0.0213",""
"3","HCR","binary_compact","valid","AUPRC","0.7418","",""
"3","HCR stage2","binary_compact-HCR0","valid","paired delta AUPRC","0.0868","0.0171","5/5 wins"
"3","HCR stage2","binary_compact-HCR0","test","paired delta AUPRC","0.1168","",""
"3","HCR stage2","binary_compact-HCR0","valid","paired delta Brier","-0.0326","","lower is better"
"3B","Motif completion","hcr3_without_a111","motif","AUPRC","0.6364","0.1384","winner"
"3B","Motif completion","none","motif","AUPRC","0.1869","0.0100",""
"4C","Latent gate","latent_pairwise_aby","motif","AUPRC","0.6789","","winner"
"4C","Latent gate","none","motif","AUPRC","0.1700","",""
"4D","Context role","all_context_top1","parent_a motif","AUPRC","0.7267","","precision@1=0"
"4D","Context role","structural_latent_pairwise","parent_a motif","AUPRC","0.5157","","precision@1=1; collider FPR=0"
"5A.1","Coverage","HCR2","all queries","true_path_coverage","0.649","",""
"5A.1","Coverage","HGT","all queries","true_path_coverage","0.510","",""
"5B","Energy","uniform","test","MRR@100","0.631","","winner"
"5B","Energy","HCR2","test","MRR@100","0.602","",""
"5C","Patient activation","structural_gate","panel P","delta HEM","0.473","","consistency=1.0"
"5C","Patient activation","context_shuffle","panel P","delta HEM","0.030","",""
"5D","Link prediction","L2 structural HCR","test","AUPRC","0.734","0.012","winner"
"5D","Link prediction","L4 path support","test","AUPRC","0.725","0.010","delta vs L2 -0.0086"
"5D","Link prediction","L0 HGT","test","AUPRC","0.569","",""
"6","Mixed HCR","full feature extraction","all","motifs","229","","687 pair rows"
"6→7","L2 architecture audit","L3H8W32 leaky","valid","AUPRC","0.808","","winner"
"6→7","L2 architecture audit","L3H8W32 leaky","test","AUPRC","0.772","",""
"7","GHCR","V2 all types","clean valid","AUPRC","0.768","","winner valid"
"7","GHCR","V0 legacy","clean test","AUPRC","0.822","","winner test"
"7B","Panel B","B0 legacy pad40","clean valid","AUPRC","0.804","","winner valid"
"7B","Panel B","B2 enriched40","clean test","AUPRC","0.822","",""
"7B","Residual","R3 classical4","clean valid","AUPRC","0.898","",""
"7C","Architecture","A1 unshared","clean valid","AUPRC","0.922","","winner"
"7C","Architecture multi-seed","A1 unshared","valid","AUPRC","0.952","0.026","winner"
"7D","CMI","T1-T0","clean valid","delta AUPRC","-0.0056","","CMI rejected"
"7D","Scenarios","T0 clean","valid","AUPRC","0.952","0.026",""
"7D","Scenarios","T0 multihospital","valid","AUPRC","0.964","0.027",""
"9","Direct KAN","MLP K0","clean valid","AUPRC","0.922789","","winner"
"9","Direct KAN","KAN K1","clean valid","AUPRC","0.888078","","delta -0.034711"
"10","Fair residual","MLP R0","clean valid","AUPRC","0.922051","",""
"10","Fair residual","AG KAN R1","clean valid","AUPRC","0.922085","","delta +0.000034; alpha=0.0475"
"11","Full retrain","TA_KAN-TA_MLP","all scenarios valid","mean paired delta AUPRC","-0.011093","","MLP winner"
"11","Full retrain","TA_KAN-TA_MLP","clean valid","paired delta AUPRC","-0.013442","",""
"11","Full retrain","TA_KAN-TA_MLP","multihospital valid","paired delta AUPRC","-0.006889","",""
"11","K1 full scenarios","K1 shallow-MLP","18 paired runs valid","mean delta AUPRC","-0.004436","0.008917","5/18 wins"
"11","K1 full scenarios","K1 shallow-MLP","no_overlap valid","mean delta AUPRC","0.000803","",""
"11","K1 full scenarios","K1 shallow-MLP","selection_bias valid","mean delta AUPRC","-0.014591","",""
"11","Rare endpoint audit","KAN shallow-MLP","common >=10% valid","macro delta AUPRC","0.001514","","delta nAUPRC +0.002536"
"11","Rare endpoint audit","KAN shallow-MLP","moderate 5-10% valid","macro delta AUPRC","0.003291","","delta nAUPRC +0.004320"
"11","Rare endpoint audit","KAN shallow-MLP","sparse 1-5% valid","macro delta AUPRC","0.005260","","delta nAUPRC +0.006183"
