run,epoch,loss,train_auprc,valid_auprc,valid_auc,best_epoch,gap_train_valid
11.08_S10_clean_seed20260721,1,1.0383,0.4949,0.526,0.7336,1,-0.031100000000000017
11.08_S10_clean_seed20260721,2,1.015,0.5627,0.5338,0.7436,2,0.028899999999999926
11.08_S10_clean_seed20260721,3,0.9812,0.5912,0.5763,0.7549,3,0.014899999999999913
11.08_S10_clean_seed20260721,4,0.9637,0.6039,0.5723,0.7641,3,0.03159999999999996
11.08_S10_clean_seed20260721,5,0.9553,0.6116,0.5803,0.768,5,0.031299999999999994
11.08_S10_clean_seed20260721,6,0.949,0.6216,0.5823,0.7738,6,0.0393
11.08_S10_clean_seed20260721,7,0.9176,0.6344,0.5956,0.7911,7,0.038799999999999946
11.08_S10_clean_seed20260721,8,0.9126,0.6426,0.6073,0.796,8,0.0353
11.08_S10_clean_seed20260721,9,0.8907,0.6517,0.6112,0.8032,9,0.04049999999999998
11.08_S10_clean_seed20260721,10,0.8737,0.659,0.6168,0.8129,10,0.042200000000000015
11.08_S10_clean_seed20260721,11,0.8783,0.6724,0.6248,0.8192,11,0.047599999999999976
11.08_S10_clean_seed20260721,12,0.8481,0.6855,0.6347,0.8343,12,0.050799999999999956
11.08_S10_clean_seed20260721,13,0.8596,0.6911,0.6143,0.8372,12,0.07680000000000009
11.08_S10_clean_seed20260721,14,0.8136,0.7021,0.6176,0.8441,12,0.08449999999999991
11.08_S10_clean_seed20260721,15,0.8017,0.7129,0.6237,0.8472,12,0.08919999999999995
11.08_S10_clean_seed20260721,16,0.7927,0.7222,0.637,0.8494,16,0.08519999999999994
11.08_S10_clean_seed20260721,17,0.7687,0.7335,0.6454,0.8518,17,0.08810000000000007
11.08_S10_clean_seed20260721,18,0.7457,0.7482,0.6629,0.8603,18,0.08529999999999993
11.08_S10_clean_seed20260721,19,0.739,0.762,0.6815,0.8674,19,0.08050000000000002
11.08_S10_clean_seed20260721,20,0.7023,0.7742,0.6909,0.8713,20,0.08330000000000004
11.08_S10_clean_seed20260721,21,0.6978,0.7831,0.704,0.8764,21,0.07910000000000006
11.08_S10_clean_seed20260721,22,0.6766,0.7931,0.7102,0.882,22,0.08289999999999997
11.08_S10_clean_seed20260721,23,0.6558,0.8042,0.7188,0.8879,23,0.08540000000000003
11.08_S10_clean_seed20260721,24,0.6606,0.8144,0.7206,0.891,24,0.0938
11.08_S10_clean_seed20260721,25,0.6199,0.8227,0.7212,0.8934,25,0.10150000000000003
11.08_S10_clean_seed20260721,26,0.6146,0.8307,0.7249,0.8966,26,0.1058
11.08_S10_clean_seed20260721,27,0.603,0.8399,0.7269,0.8995,27,0.11299999999999999
11.08_S10_clean_seed20260721,28,0.5858,0.8488,0.7334,0.9027,28,0.11539999999999995
11.08_S10_clean_seed20260721,29,0.5934,0.857,0.7328,0.9036,28,0.12419999999999998
