rank,backbone,config_id,n_seeds,mean_valid_auprc,std_valid_auprc,mean_valid_auc,std_valid_auc,mean_sealed_test_auprc,std_sealed_test_auprc,seeds
1,hgt,hgt__h32__L2__d0.25__lr0.001__hd4__shared,3,0.7287914649748141,0.009116554516909913,0.8572268135904499,0.005960947041163491,0.5546173220332908,0.016082023356819564,"20260721,20260722,20260723"
2,hgt,hgt__h32__L4__d0.25__lr0.001__hd4__shared,3,0.7262130757680091,0.03340013461958165,0.8605693296602388,0.016507730518466355,0.5534713328328702,0.007781062781682115,"20260721,20260722,20260723"
3,hgt,hgt__h32__L2__d0.1__lr0.0003__hd4__shared,3,0.7252693501136639,0.02482548811484367,0.8616712580348944,0.00709211694241356,0.5762427692015314,0.015369994664633548,"20260721,20260722,20260723"
4,hgt,hgt__h32__L2__d0.1__lr0.001__hd4__shared,3,0.7248914129984577,0.008093018301719698,0.8570064279155188,0.005312544385458917,0.5673680285162729,0.008255632493622763,"20260721,20260722,20260723"
5,hgt,hgt__h64__L2__d0.25__lr0.0003__hd4__shared,3,0.7197164475698122,0.007188770196544787,0.8539577594123048,0.004077631320147759,0.5540690955448945,0.004665440247883795,"20260721,20260722,20260723"
6,hgt,hgt__h64__L3__d0.25__lr0.0003__hd4__shared,3,0.718308419702401,0.006318736740090092,0.8577777777777778,0.002083004132783559,0.5634635358227618,0.008009758918971238,"20260721,20260722,20260723"
7,hgt,hgt__h32__L4__d0.1__lr0.001__hd4__shared,3,0.7170030109789495,0.03353361164893935,0.8589531680440771,0.011004397658597561,0.5752461460802621,0.017141644760977463,"20260721,20260722,20260723"
8,hgt,hgt__h32__L4__d0.25__lr0.0003__hd4__shared,3,0.7136447760133448,0.04422244135320426,0.8585491276400367,0.015593097676077056,0.57398562386573,0.015379585559228588,"20260721,20260722,20260723"
9,hgt,hgt__h32__L4__d0.1__lr0.0003__hd4__shared,3,0.7117832981687947,0.02848121071283255,0.8585123966942148,0.013461127437947916,0.5760878242316865,0.014093323539005418,"20260721,20260722,20260723"
10,hgt,hgt__h64__L3__d0.1__lr0.0003__hd4__shared,3,0.7116669481138139,0.008161281070600103,0.8596510560146924,0.0031637692242643344,0.5634167507879433,0.014194799036521212,"20260721,20260722,20260723"
11,hgt,hgt__h64__L2__d0.1__lr0.0003__hd4__shared,3,0.7091298721144647,0.01313227716870469,0.8530027548209367,0.006724472199401652,0.5633594462677264,0.008038639341075963,"20260721,20260722,20260723"
12,hgt,hgt__h64__L4__d0.25__lr0.001__hd4__shared,3,0.7082345588429307,0.005536982967027391,0.8514600550964188,0.0013540722564677357,0.5530754471207375,0.023116144192892735,"20260721,20260722,20260723"
13,hgt,hgt__h64__L2__d0.25__lr0.001__hd4__shared,3,0.7080717837540411,0.004993906304016279,0.8447015610651974,0.019788539261443524,0.5517978496428633,0.023665686324200113,"20260721,20260722,20260723"
14,hgt,hgt__h64__L2__d0.1__lr0.001__hd4__shared,3,0.7060323469973018,0.009069566473667103,0.851129476584022,0.004050242633496238,0.5608396349105799,0.004284222384780175,"20260721,20260722,20260723"
15,hgt,hgt__h64__L3__d0.25__lr0.001__hd4__shared,3,0.7049614365075949,0.006974315066441302,0.8531864095500459,0.005312544385458821,0.5651529859265124,0.014354757047100201,"20260721,20260722,20260723"
16,hgt,hgt__h32__L3__d0.1__lr0.0003__hd4__shared,3,0.7023404453248475,0.025844478082409323,0.8463177226813591,0.008892455021585291,0.580423655747785,0.010345861787451449,"20260721,20260722,20260723"
17,hgt,hgt__h64__L4__d0.1__lr0.001__hd4__shared,3,0.7006614770147196,0.004984198864007736,0.8483011937557392,0.0023384086747323517,0.5666401143106897,0.019176991430409587,"20260721,20260722,20260723"
18,hgt,hgt__h64__L4__d0.1__lr0.0003__hd4__shared,3,0.7004478011817984,0.00919230023670612,0.850358126721763,0.004389770641772331,0.5639896033713255,0.0033442447297637044,"20260721,20260722,20260723"
19,hgt,hgt__h64__L3__d0.1__lr0.001__hd4__shared,3,0.7002240270677421,0.012504716406035898,0.8545087235996327,0.012853102163476954,0.5629211527523313,0.017217167984186443,"20260721,20260722,20260723"
20,hgt,hgt__h64__L4__d0.25__lr0.0003__hd4__shared,3,0.7001794472276364,0.0041207703744456665,0.8483746556473829,0.005029189512834859,0.5591235115303355,0.0216971788540748,"20260721,20260722,20260723"
21,hgt,hgt__h32__L3__d0.1__lr0.001__hd4__shared,3,0.6997864801131457,0.008472237906628242,0.8371349862258954,0.013043313500705552,0.5796889408651255,0.005161070970142284,"20260721,20260722,20260723"
22,hgt,hgt__h32__L3__d0.25__lr0.0003__hd4__shared,3,0.6989706479858333,0.016546672773368746,0.8510927456382001,0.007023298784087982,0.5826186498125875,0.012545389456365243,"20260721,20260722,20260723"
23,rgcn_matched,rgcn_matched__h64__L3__d0.25__lr0.0003__b8__shared,3,0.6972362449339954,0.009765036267075247,0.836216712580349,0.0187075939336273,0.5737990298950957,0.042694870885261194,"20260721,20260722,20260723"
24,hgt,hgt__h32__L3__d0.25__lr0.001__hd4__shared,3,0.6967587465915717,0.018613210535572154,0.8520110192837466,0.0015426997245179264,0.5615365600158306,0.0284156186807489,"20260721,20260722,20260723"
25,rgcn_matched,rgcn_matched__h32__L2__d0.25__lr0.0003__b8__shared,3,0.693284764149514,0.018472139919013565,0.8383471074380165,0.007463887260331117,0.5795944371022744,0.019987759192474246,"20260721,20260722,20260723"
26,rgcn_matched,rgcn_matched__h32__L3__d0.25__lr0.001__b8__shared,3,0.6926810966384682,0.009074952493724182,0.8404040404040404,0.015161162301508062,0.5809481372915368,0.005291454900645435,"20260721,20260722,20260723"
27,rgcn_matched,rgcn_matched__h32__L4__d0.25__lr0.001__b8__shared,3,0.6918160558531944,0.029588386336014103,0.8345270890725436,0.009810463636909164,0.5534425180507089,0.015961239321788254,"20260721,20260722,20260723"
28,hgt,hgt__h32__L2__d0.25__lr0.0003__hd4__shared,3,0.6909526589602109,0.04332175612151623,0.8142148760330579,0.07914216515964788,0.5086152911931038,0.12686773061472903,"20260721,20260722,20260723"
29,rgcn_matched,rgcn_matched__h32__L2__d0.25__lr0.001__b8__shared,3,0.685839865100233,0.018856620514291936,0.8320293847566574,0.011893852325114971,0.5808899182992048,0.04383473913371218,"20260721,20260722,20260723"
30,rgcn_matched,rgcn_matched__h32__L3__d0.25__lr0.0003__b8__shared,3,0.6856662140837556,0.013763774146217834,0.8400367309458219,0.014723154176755598,0.5660508569329162,0.004950424235993484,"20260721,20260722,20260723"
31,rgcn_matched,rgcn_matched__h64__L3__d0.25__lr0.001__b8__shared,3,0.6846156420358314,0.009531601087021346,0.8435996326905417,0.010023511028991324,0.5628962476802696,0.016756950521830773,"20260721,20260722,20260723"
32,rgcn_matched,rgcn_matched__h32__L4__d0.25__lr0.0003__b8__shared,3,0.6816697531607879,0.024042258934443658,0.8375390266299357,0.0038399213092978764,0.559959336642669,0.0221692571669209,"20260721,20260722,20260723"
33,rgcn_matched,rgcn_matched__h64__L3__d0.1__lr0.001__b8__shared,3,0.6787304459003245,0.024999362742143538,0.8284664830119375,0.014259367591549508,0.5512644768484258,0.043607534611675096,"20260721,20260722,20260723"
34,rgcn_matched,rgcn_matched__h64__L4__d0.25__lr0.0003__b8__shared,3,0.6746479231350018,0.02604600785538804,0.8089990817263544,0.028459918079456994,0.5227864684995841,0.06216133311184914,"20260721,20260722,20260723"
35,rgcn_matched,rgcn_matched__h64__L2__d0.25__lr0.0003__b8__shared,3,0.6705460848832819,0.02280798164338407,0.8276951331496786,0.0019844911161418137,0.5831984303871398,0.02358350352011803,"20260721,20260722,20260723"
36,hetero_sage_matched,hetero_sage_matched__h32__L2__d0.25__lr0.0003__shared,3,0.6704764694406136,0.015979682684636193,0.8040771349862259,0.008022916429429166,0.5122854033868487,0.027301163695134294,"20260721,20260722,20260723"
37,rgcn_matched,rgcn_matched__h32__L3__d0.1__lr0.001__b8__shared,3,0.6667730121650304,0.018959198563477074,0.8184389348025711,0.004065702582779604,0.5608354321221827,0.014719301153996037,"20260721,20260722,20260723"
38,rgcn_matched,rgcn_matched__h64__L3__d0.1__lr0.0003__b8__shared,3,0.6662202916194073,0.01516527614740775,0.8289807162534435,0.018910837474803634,0.5808912077752788,0.03969859946511885,"20260721,20260722,20260723"
39,rgcn_matched,rgcn_matched__h64__L2__d0.25__lr0.001__b8__shared,3,0.6660919109228228,0.01300133156357966,0.8249035812672176,0.01060831431101595,0.5734928795422816,0.012053202088706149,"20260721,20260722,20260723"
